LIWC,VADER,corr,pval,n
categoryId,vader_pos,0.009013886897505553,7.237947371304446e-08,356910
categoryId,vader_neg,-0.0053369754587027874,0.0014305036893171707,356910
categoryId,vader_neu,-0.005692854238527493,0.0006713061903489212,356910
categoryId,vader_compound,0.006064133925857173,0.00029137235339548847,356910
caption,vader_pos,-0.0011871079290366757,0.47820091155029143,356910
caption,vader_neg,-0.00031371491951774,0.8513323281120797,356910
caption,vader_neu,0.0013305926297523267,0.4266603386645342,356910
caption,vader_compound,0.005523850198885288,0.0009666100207640515,356910
licensedContent,vader_pos,0.00019395132454536165,0.9077556599881413,356910
licensedContent,vader_neg,0.005201945916985123,0.001885150333606178,356910
licensedContent,vader_neu,-0.0031484958808393887,0.05997589741258591,356910
licensedContent,vader_compound,0.0021097862707345778,0.20751632466582354,356910
embeddable,vader_pos,0.002363040047962585,0.15803150486205814,356910
embeddable,vader_neg,0.001789838818910707,0.28494278319175487,356910
embeddable,vader_neu,-0.0033082768947247003,0.04810638505194762,356910
embeddable,vader_compound,0.001750911745195393,0.2955490879617211,356910
WC,vader_pos,-0.08297480090127805,0.0,356910
WC,vader_neg,0.032623817464000164,1.205264478846792e-84,356910
WC,vader_neu,0.06177745497346121,9.714435097262973e-299,356910
WC,vader_compound,0.03386594412006286,4.540408507205737e-91,356910
Analytic,vader_pos,-0.029541703334645744,1.8629909446910366e-65,334396
Analytic,vader_neg,-0.06167568340063671,4.091044429280473e-279,334396
Analytic,vader_neu,0.06452229522029557,2.5280483388636613e-305,334396
Analytic,vader_compound,0.011340713098165969,5.446893980952634e-11,334396
Clout,vader_pos,0.03496172480991344,6.359788271903273e-72,262981
Clout,vader_neg,-0.09808772998043232,0.0,262981
Clout,vader_neu,0.029963457965661675,2.6364516491402666e-53,262981
Clout,vader_compound,0.05032519909788129,4.787286657513325e-147,262981
Authentic,vader_pos,-0.10360748012594356,0.0,282063
Authentic,vader_neg,-0.018239658451902376,3.3985750353414465e-22,282063
Authentic,vader_neu,0.10983452853471937,0.0,282063
Authentic,vader_compound,-0.07613811221990394,0.0,282063
Tone,vader_pos,0.5031135495255643,0.0,208418
Tone,vader_neg,-0.5690285949205623,0.0,208418
Tone,vader_neu,-0.17256876535822616,0.0,208418
Tone,vader_compound,0.6051389175754595,0.0,208418
WPS,vader_pos,-0.08316283987186536,0.0,356910
WPS,vader_neg,0.032667683430137304,7.215969168296697e-85,356910
WPS,vader_neu,0.061933828992150955,3.028842289760472e-300,356910
WPS,vader_compound,0.03381635302903174,8.282393617062383e-91,356910
BigWords,vader_pos,0.03458356401538116,6.864865829446568e-95,356910
BigWords,vader_neg,-0.03875160887989554,1.163998003293621e-118,356910
BigWords,vader_neu,-0.011425254536048477,8.739517204599355e-12,356910
BigWords,vader_compound,0.0015774072294786347,0.34600270556381557,356910
Dic,vader_pos,0.13022389818894964,0.0,356910
Dic,vader_neg,0.06250059665212057,9.778094753031724e-306,356910
Dic,vader_neu,-0.16170901350206857,0.0,356910
Dic,vader_compound,0.07993672484154665,0.0,356910
Linguistic,vader_pos,-0.0005377123223487543,0.7480295078872256,356910
Linguistic,vader_neg,0.016412689910033935,1.0621049230901353e-22,356910
Linguistic,vader_neu,-0.008825487645954047,1.3450290171163342e-07,356910
Linguistic,vader_compound,0.042761842724246456,4.433375385295059e-144,356910
function,vader_pos,-0.1780266361122909,0.0,356910
function,vader_neg,-0.03906390458777029,1.5004537143903085e-120,356910
function,vader_neu,0.1946607345738191,0.0,356910
function,vader_compound,0.003526418822542998,0.03513922380799937,356910
pronoun,vader_pos,-0.006894944097917714,3.801764497538211e-05,356910
pronoun,vader_neg,-0.0020719416153749223,0.2157845855530844,356910
pronoun,vader_neu,0.007858529070937346,2.6674479407445258e-06,356910
pronoun,vader_compound,0.024354739023398835,5.663554467357592e-48,356910
ppron,vader_pos,-0.028100337983621798,2.8428157056980285e-63,356910
ppron,vader_neg,0.00047627577016441723,0.7760000874276616,356910
ppron,vader_neu,0.026943087355726404,2.5846428513420776e-58,356910
ppron,vader_compound,0.028447721549922998,8.41008917454588e-65,356910
i,vader_pos,-0.021157434277549514,1.2507644660239722e-36,356910
i,vader_neg,-0.001103504338140538,0.5097334160736882,356910
i,vader_neu,0.021118330394383687,1.6832473340541848e-36,356910
i,vader_compound,0.029590758203065896,5.781029816893451e-70,356910
we,vader_pos,-0.026837872035585957,7.127762902594604e-58,356910
we,vader_neg,0.0021689439994530407,0.19505600537683082,356910
we,vader_neu,0.024756556031298043,1.643337837479798e-49,356910
we,vader_compound,-0.005588148309239418,0.0008423722585554234,356910
you,vader_pos,0.041283326005317277,2.039514278949577e-134,356910
you,vader_neg,0.0033697386256144285,0.044099265559674646,356910
you,vader_neu,-0.041898867493633654,2.1281382452304146e-138,356910
you,vader_compound,0.03155638395170596,2.572843453164153e-79,356910
shehe,vader_pos,-0.0027021889565591916,0.10645423273205026,356910
shehe,vader_neg,-0.0025237724450378105,0.13161906924530611,356910
shehe,vader_neu,0.004053568758004527,0.015448850677841986,356910
shehe,vader_compound,0.014539614868149203,3.7319388545629315e-18,356910
they,vader_pos,-0.019119286242816336,3.200836433920651e-30,356910
they,vader_neg,0.014362260719387454,9.429228963068938e-18,356910
they,vader_neu,0.010336646536015327,6.597234869892421e-10,356910
they,vader_compound,-0.00114913265878428,0.49239028467185325,356910
ipron,vader_pos,0.020177662820265826,1.809591574532961e-33,356910
ipron,vader_neg,-0.003293992211440771,0.04908029708093909,356910
ipron,vader_neu,-0.01766414273792597,4.884108291040795e-26,356910
ipron,vader_compound,0.003208467783241976,0.055263436432323274,356910
det,vader_pos,-0.03141457231426509,1.2739007972695976e-78,356910
det,vader_neg,-0.02461907887546519,5.552989483083163e-49,356910
det,vader_neu,0.04444524753920804,1.7010835998853267e-155,356910
det,vader_compound,0.027126166473486597,4.382642418605795e-59,356910
article,vader_pos,-0.0680846867245538,0.0,356910
article,vader_neg,-0.036640528930182895,2.772132156100694e-106,356910
article,vader_neu,0.0868031970606579,0.0,356910
article,vader_compound,-0.0017893492101448468,0.2850745657307831,356910
number,vader_pos,-0.08244564237164413,0.0,356910
number,vader_neg,-0.058644047000602315,2.2914770857310784e-269,356910
number,vader_neu,0.11324092784948835,0.0,356910
number,vader_compound,-0.03885948298164213,2.599620551435975e-119,356910
prep,vader_pos,-0.14744854955012496,0.0,356910
prep,vader_neg,-0.060034765339175164,3.2598840419962665e-282,356910
prep,vader_neu,0.17698664162004482,0.0,356910
prep,vader_compound,-0.005108795462821372,0.002272441060578601,356910
auxverb,vader_pos,-0.13319665144796106,0.0,356910
auxverb,vader_neg,0.02602896865082886,1.523170531694003e-54,356910
auxverb,vader_neu,0.11417836449201989,0.0,356910
auxverb,vader_compound,-0.07005748455264503,0.0,356910
