genre,mean_pos,rank_mean_pos,mean_neg,rank_mean_neg,mean_neu,rank_mean_neu,mean_comp,rank_mean_comp
alternative hip hop,0.17329477351916375,217,0.08487874564459931,23,0.7418376306620209,36,0.15358940766550522,222
hip hop,0.16940960871718674,223,0.08018127786032689,39,0.7504071322436849,18,0.17321158989598812,215
experimental hip hop,0.15578716904276987,231,0.10142617107942974,7,0.7427988798370672,33,0.12406262729124236,227
